expiry,tau,strike,type,bid,ask,last,volume,openInterest,impliedVolatility,spot,r,mid_price,moneyness,log_moneyness,underlying
2025-12-19,0.057494866529774126,630.0,call,53.24,55.17,54.41,402.0,17831.0,0.24878680908203127,683.469970703125,0.0403845900313004,54.205,0.921766905650416,-0.08146290121652854,SPY
2025-12-19,0.057494866529774126,640.0,call,43.58,46.19,45.05,54.0,13258.0,0.24353783813476562,683.469970703125,0.0403845900313004,44.885,0.9363981263750257,-0.06571454424838939,SPY
2025-12-19,0.057494866529774126,655.0,call,30.87,31.25,30.94,265.0,14668.0,0.18323570678710935,683.469970703125,0.0403845900313004,31.060000000000002,0.9583449574619405,-0.04254748496685492,SPY
2025-12-19,0.057494866529774126,665.0,call,22.2,22.6,22.37,137.0,24907.0,0.1662681030273438,683.469970703125,0.0403845900313004,22.4,0.9729761781865502,-0.02739567994625271,SPY
2025-12-19,0.057494866529774126,670.0,call,18.24,18.52,18.35,382.0,32203.0,0.15732654205322266,683.469970703125,0.0403845900313004,18.38,0.9802917885488551,-0.019905008217095118,SPY
2025-12-19,0.057494866529774126,671.0,call,17.4,17.82,17.69,51.0,2116.0,0.1570518865966797,683.469970703125,0.0403845900313004,17.61,0.981754910621316,-0.018413583630425136,SPY
2025-12-19,0.057494866529774126,675.0,call,14.48,14.69,14.69,303.0,19256.0,0.14853756744384766,683.469970703125,0.0403845900313004,14.585,0.98760739891116,-0.012470029729577045,SPY
2025-12-19,0.057494866529774126,677.0,call,12.98,13.34,13.18,63.0,2376.0,0.14655394470214844,683.469970703125,0.0403845900313004,13.16,0.9905336430560819,-0.009511447689831901,SPY
2025-12-19,0.057494866529774126,678.0,call,12.33,12.6,12.8,52.0,2760.0,0.1442346319580078,683.469970703125,0.0403845900313004,12.465,0.991996765128543,-0.008035432661711282,SPY
2025-12-19,0.057494866529774126,680.0,call,11.03,11.09,11.12,1617.0,54571.0,0.13852790191650394,683.469970703125,0.0403845900313004,11.059999999999999,0.9949230092734649,-0.005089922431954494,SPY
2025-12-19,0.057494866529774126,681.0,call,10.43,10.5,10.55,2540.0,4188.0,0.1378412632751465,683.469970703125,0.0403845900313004,10.465,0.9963861313459258,-0.003620414452594579,SPY
2025-12-19,0.057494866529774126,682.0,call,9.8,9.86,9.83,523.0,3069.0,0.13614755462646483,683.469970703125,0.0403845900313004,9.83,0.9978492534183868,-0.002153062758644803,SPY
2025-12-19,0.057494866529774126,683.0,call,9.23,9.29,9.21,439.0,2930.0,0.13526255371093754,683.469970703125,0.0403845900313004,9.26,0.9993123754908478,-0.0006878610313167963,SPY
