expiry,tau,strike,type,bid,ask,last,volume,openInterest,impliedVolatility,spot,r,mid_price,moneyness,log_moneyness,underlying
2025-12-19,0.057494866529774126,405.0,call,33.95,34.15,34.35,159.0,4039,0.46411668701171876,430.1700134277344,0.0403845900313004,34.05,0.9414882194433509,-0.06029344350346636,TSLA
2025-12-19,0.057494866529774126,410.0,call,30.55,30.7,30.82,215.0,8454,0.4603935797119141,430.1700134277344,0.0403845900313004,30.625,0.9531115307945034,-0.04802335091165203,TSLA
2025-12-19,0.057494866529774126,412.5,call,28.95,29.15,29.1,70.0,143,0.4612480633544922,430.1700134277344,0.0403845900313004,29.049999999999997,0.9589231864700797,-0.04194430483526979,TSLA
2025-12-19,0.057494866529774126,420.0,call,24.35,24.5,24.5,823.0,7040,0.45618219604492194,430.1700134277344,0.0403845900313004,24.425,0.9763581534968083,-0.02392579933259156,TSLA
2025-12-19,0.057494866529774126,425.0,call,21.65,21.8,21.82,1061.0,4694,0.4563652996826172,430.1700134277344,0.0403845900313004,21.725,0.9879814648479609,-0.012091341685588623,TSLA
2025-12-19,0.057494866529774126,430.0,call,19.1,19.25,19.09,2612.0,9357,0.4551751260375977,430.1700134277344,0.0403845900313004,19.175,0.9996047761991134,-0.0003953019223973602,TSLA
2025-12-19,0.057494866529774126,435.0,call,16.8,16.9,17.02,510.0,3598,0.45380184875488283,430.1700134277344,0.0403845900313004,16.85,1.0112280875502657,0.0111655204786785,TSLA
2025-12-19,0.057494866529774126,440.0,call,14.65,14.8,14.81,2443.0,9880,0.453557710571289,430.1700134277344,0.0403845900313004,14.725000000000001,1.0228513989014183,0.022594216302301347,TSLA
2025-12-19,0.057494866529774126,445.0,call,12.85,12.95,12.9,450.0,3557,0.4545952978515625,430.1700134277344,0.0403845900313004,12.899999999999999,1.0344747102525709,0.033893771556234804,TSLA
2025-12-19,0.057494866529774126,450.0,call,11.15,11.25,11.29,2713.0,19216,0.45477840148925786,430.1700134277344,0.0403845900313004,11.2,1.0460980216037232,0.04506707215435991,TSLA
2025-12-19,0.057494866529774126,455.0,call,9.65,9.75,9.75,493.0,13864,0.4554497814941406,430.1700134277344,0.0403845900313004,9.7,1.0577213329548758,0.05611690834094498,TSLA
2025-12-19,0.057494866529774126,465.0,call,7.3,7.35,7.34,244.0,3060,0.4602715106201172,430.1700134277344,0.0403845900313004,7.324999999999999,1.0809679556571807,0.07785689497735085,TSLA
2025-12-26,0.07665982203969883,415.0,call,29.85,30.05,30.0,79.0,745,0.45535822967529294,430.1700134277344,0.040287298403242335,29.950000000000003,0.9647348421456559,-0.03590199037930723,TSLA
2025-12-26,0.07665982203969883,425.0,call,24.25,24.45,24.55,603.0,838,0.45300839965820316,430.1700134277344,0.040287298403242335,24.35,0.9879814648479609,-0.012091341685588623,TSLA
2025-12-26,0.07665982203969883,435.0,call,19.4,19.6,19.75,603.0,683,0.45111632873535157,430.1700134277344,0.040287298403242335,19.5,1.0112280875502657,0.0111655204786785,TSLA
2025-12-26,0.07665982203969883,450.0,call,13.7,13.85,13.76,511.0,1489,0.45261167510986333,430.1700134277344,0.040287298403242335,13.774999999999999,1.0460980216037232,0.04506707215435991,TSLA
2025-12-26,0.07665982203969883,470.0,call,8.2,8.3,8.15,133.0,1052,0.45337460693359377,430.1700134277344,0.040287298403242335,8.25,1.092591267008333,0.0885521840940987,TSLA
2026-01-02,0.09582477754962354,420.0,call,30.2,30.55,30.43,98.0,758,0.47241738525390625,430.1700134277344,0.040191490600857416,30.375,0.9763581534968083,-0.02392579933259156,TSLA
2026-01-02,0.09582477754962354,425.0,call,27.55,27.85,27.8,159.0,449,0.47043376251220703,430.1700134277344,0.040191490600857416,27.700000000000003,0.9879814648479609,-0.012091341685588623,TSLA
2026-01-02,0.09582477754962354,440.0,call,20.7,20.95,20.95,130.0,390,0.46939617523193367,430.1700134277344,0.040191490600857416,20.825,1.0228513989014183,0.022594216302301347,TSLA
2026-01-02,0.09582477754962354,455.0,call,15.25,15.45,15.5,102.0,190,0.4694266925048829,430.1700134277344,0.040191490600857416,15.35,1.0577213329548758,0.05611690834094498,TSLA
2026-01-02,0.09582477754962354,460.0,call,13.8,13.95,14.25,74.0,460,0.47055583160400394,430.1700134277344,0.040191490600857416,13.875,1.0693446443060282,0.06704597887313513,TSLA
2026-01-02,0.09582477754962354,465.0,call,12.35,12.5,12.62,50.0,328,0.47018962432861333,430.1700134277344,0.040191490600857416,12.425,1.0809679556571807,0.07785689497735085,TSLA
2026-01-02,0.09582477754962354,470.0,call,11.15,11.3,11.29,57.0,513,0.4725394543457031,430.1700134277344,0.040191490600857416,11.225000000000001,1.092591267008333,0.0885521840940987,TSLA
2026-01-16,0.13415468856947296,400.0,call,48.1,48.35,48.51,343.0,22237,0.5037281072998048,430.1700134277344,0.04000425975666072,48.225,0.9298649080921985,-0.0727159635020235,TSLA
